# Sip word list — adapted from the New General Service List (NGSL) and New Academic Word List (NAWL) by Browne, C., Culligan, B., & Phillips, J. — CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/) — https://www.newgeneralservicelist.com — Sip's adaptation (level order, Korean meanings, examples) is shared under the same license.
level,day,word,pos,korean,example1,example2,source_list
1,1,have,verb,가지다,We have more time than them.,Do you have a good one?,NGSL
1,1,do,verb,하다,What can I do for you?,She did well this year.,NGSL
1,1,say,verb,말하다,What did she say to you?,He says it is very good.,NGSL
1,1,go,verb,가다,I will go there with you.,When do you go out?,NGSL
1,1,all,determiner,모든,All the people were there.,Do you know all these people?,NGSL
1,2,if,conjunction,만약,"If it is good, take one.",Will you come if I go?,NGSL
1,2,one,number,하나,One of them is very good.,Can I have just one?,NGSL
1,2,about,preposition,~에 대해,What do you think about this?,I know all about it.,NGSL
1,2,which,determiner,어느,Which one do you like more?,I know which one is good.,NGSL
1,2,there,adverb,거기에,They were there all year.,Who is there?,NGSL
1,3,know,verb,알다,I know what you think.,Do you know these people?,NGSL
1,3,more,determiner,더 많은,I have more time than you.,Do you have more of these?,NGSL
1,3,get,verb,얻다,I will get one for you.,What did you get this year?,NGSL
1,3,who,pronoun,누구,Who is that with you?,I know who did it.,NGSL
1,3,like,verb,좋아하다,I like these people very much.,Do you like it?,NGSL
1,4,when,conjunction,~할 때,Come and see me when you can.,"When she came, we all went out.",NGSL
1,4,think,verb,생각하다,I think it is very good.,Do you think she will come?,NGSL
1,4,make,verb,만들다,I will make one for you.,Who made this?,NGSL
1,4,time,noun,시간,Do you have time for me?,It is time to go.,NGSL
1,4,see,verb,보다,I see some people out there.,Did you see that?,NGSL
1,5,what,pronoun,무엇,What is this?,I know what you like.,NGSL
1,5,up,adverb,위로,She went up to see them.,Come up and see this.,NGSL
1,5,some,determiner,몇몇의,Some people like to go out.,I have some time for you.,NGSL
1,5,other,determiner,다른,I like the other one more.,What do other people think?,NGSL
1,5,out,adverb,밖으로,She went out to see them.,Can you come out with us?,NGSL
1,6,good,adjective,좋은,This is a very good one.,Is it good for you?,NGSL
1,6,people,noun,사람들,"Some people like it, some do not.",Who are these people?,NGSL
1,6,year,noun,해,I was there all year.,Which year was it?,NGSL
1,6,take,verb,가져가다,Take this with you.,Who took the other one?,NGSL
1,6,no,interjection,아니요,"No, I do not think so.",Did she say no to you?,NGSL
1,7,well,adverb,잘,She did very well this year.,Do you know him well?,NGSL
1,7,because,conjunction,왜냐하면,I like it because it is good.,She went because you said so.,NGSL
1,7,very,adverb,매우,This is very good.,Do you like it very much?,NGSL
1,7,just,adverb,그냥,I just like it.,Can we just go?,NGSL
1,7,come,verb,오다,Come and see me.,When will they come?,NGSL
2,1,work,verb,일하다,I work here all day.,Do you work with them?,NGSL
2,1,use,verb,사용하다,Can I use this now?,We use it all the time.,NGSL
2,1,now,adverb,지금,I need to go now.,What do you want now?,NGSL
2,1,then,adverb,그다음에,"First we work, then we go out.",Then what did you say?,NGSL
2,1,also,adverb,또한,I also want to go.,She is also very good.,NGSL
2,2,only,adverb,오직,I only have one now.,Do you only want this one?,NGSL
2,2,look,verb,바라보다,Look at this new thing!,Why are you looking at me?,NGSL
2,2,want,verb,원하다,I want a new one.,What do you want to do?,NGSL
2,2,give,verb,주다,Give me some time.,Did she give it back to you?,NGSL
2,2,first,adjective,첫 번째,This is my first time here.,Who was the first one there?,NGSL
2,3,new,adjective,새로운,Do you have any new work?,She has a new way to do it.,NGSL
2,3,way,noun,방법,This is a good way to do it.,Is there any other way?,NGSL
2,3,find,verb,찾다,I can find it for you.,Did you find what you wanted?,NGSL
2,3,over,preposition,~위로,The ball went over my head.,Can you see over those people?,NGSL
2,3,any,determiner,어떤,Do you have any time now?,I do not want any more.,NGSL
2,4,after,preposition,~후에,Come back after work.,What do you do after this?,NGSL
2,4,day,noun,날,What a good day it was!,Do you work all day?,NGSL
2,4,where,adverb,어디에,Where do you want to go?,I know where it is.,NGSL
2,4,thing,noun,것,What is that thing over there?,I have many things to do.,NGSL
2,4,most,determiner,대부분의,Most people like this one.,Most children like new things.,NGSL
2,5,need,verb,필요하다,I need more time.,Do you need me now?,NGSL
2,5,much,adverb,많이,Thank you very much.,I do not like it much.,NGSL
2,5,right,adjective,맞는,You are right about that.,Is this the right way?,NGSL
2,5,how,adverb,어떻게,How do you know that?,Tell me how it works.,NGSL
2,5,back,adverb,뒤로,She looked back at us.,Can we go back now?,NGSL
2,6,mean,verb,의미하다,What do you mean by that?,It means a lot to me.,NGSL
2,6,even,adverb,심지어,Even a child can do it.,He did not even look at me.,NGSL
2,6,here,adverb,여기에,Come here and look at this.,Is there any work here?,NGSL
2,6,many,determiner,많은,Many people work here.,How many children do you have?,NGSL
2,6,such,determiner,그런,Do not say such things.,It was such a good day.,NGSL
2,7,last,adjective,지난,I saw him last year.,What did you do last time?,NGSL
2,7,child,noun,아이,The child is with her.,Do you have any children?,NGSL
2,7,tell,verb,말해주다,Tell me about your day.,Did he tell you the time?,NGSL
2,7,really,adverb,정말,I really like this one.,Do you really want to go?,NGSL
2,7,call,verb,전화하다,Call me back after work.,Did she call you last night?,NGSL
3,1,before,preposition,~전에,Call me before you come.,Did you know her before this year?,NGSL
3,1,company,noun,회사,She works for a new company.,Which company do you work for?,NGSL
3,1,through,preposition,~을 통해,We walked through the door.,Can you see through this window?,NGSL
3,1,down,adverb,아래로,Just put it down here.,Why did he look down?,NGSL
3,1,show,verb,보여주다,Can you show me the way?,She showed us her new work.,NGSL
3,2,life,noun,삶,Life is good here.,Do you like your new life?,NGSL
3,2,man,noun,남자,The man asked for help.,Who is that man over there?,NGSL
3,2,change,verb,바꾸다,I want to change my life.,Can we change the time?,NGSL
3,2,place,noun,장소,This is a good place to talk.,Is this the right place?,NGSL
3,2,long,adjective,긴,It was a very long day.,Is it a long way there?,NGSL
3,3,between,preposition,~사이에,Put it between these two things.,Who is that man between them?,NGSL
3,3,feel,verb,느끼다,I feel very good now.,How do you feel about it?,NGSL
3,3,too,adverb,너무,This is too much for me.,Is it too long?,NGSL
3,3,still,adverb,여전히,He is still at work.,Do you still like it?,NGSL
3,3,problem,noun,문제,We have a problem here.,What is the problem now?,NGSL
3,4,write,verb,글을 쓰다,She writes to me a lot.,Can you write it down for me?,NGSL
